file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	og_id	seq_date	stage	haplotype
OG85_v240927.hic1.3.curated.hap1	FASTA	DNA	94	695431846	12640	7398211.1	34972378	OG85	240927	3	hap1
OG85_v240927.hic1.3.curated.hap2	FASTA	DNA	24	686570756	15287468	28607114.8	35155010	OG85	240927	3	hap2
OG85_v240927.hic1.3.curated.hap2	FASTA	DNA	60	6173863	10222	102897.7	499735	OG85	240927	3	hap2
OG85_v240927.hic1.3.curated.hap2	FASTA	DNA	84	692744619	10222	8246959.8	35155010	OG85	240927	3	hap2
OG855_v240821.hic1.3.curated.hap1	FASTA	DNA	24	663638666	15873042	27651611.1	34832941	OG855	240821	3	hap1
OG855_v240821.hic1.3.curated.hap1	FASTA	DNA	74	4596930	11828	62120.7	300755	OG855	240821	3	hap1
OG855_v240821.hic1.3.curated.hap1	FASTA	DNA	98	668235596	11828	6818730.6	34832941	OG855	240821	3	hap1
OG855_v240821.hic1.3.curated.hap2	FASTA	DNA	24	665308141	15951929	27721172.5	34610763	OG855	240821	3	hap2
OG855_v240821.hic1.3.curated.hap2	FASTA	DNA	51	3176798	9246	62290.2	339203	OG855	240821	3	hap2
OG855_v240821.hic1.3.curated.hap2	FASTA	DNA	75	668484939	9246	8913132.5	34610763	OG855	240821	3	hap2
OG113_v231028.hic1.3.curated.hap1	FASTA	DNA	79	843959183	79222	10683027.6	71239504	OG113	231028	3	hap1
OG113_v231028.hic1.3.curated.hap1	FASTA	DNA	145	11601855	18285	80012.8	335617	OG113	231028	3	hap1
OG113_v231028.hic1.3.curated.hap1	FASTA	DNA	224	855561038	18285	3819468.9	71239504	OG113	231028	3	hap1
OG113_v231028.hic1.3.curated.hap2	FASTA	DNA	79	845752530	78114	10705728.2	70269723	OG113	231028	3	hap2
OG113_v231028.hic1.3.curated.hap2	FASTA	DNA	75	6059765	18836	80796.9	348464	OG113	231028	3	hap2
OG113_v231028.hic1.3.curated.hap2	FASTA	DNA	154	851812295	18836	5531248.7	70269723	OG113	231028	3	hap2
OG38_v230609.hic1.3.curated.hap1	FASTA	DNA	25	724690221	1693570	28987608.8	40831034	OG38	230609	3	hap1
OG38_v230609.hic1.3.curated.hap1	FASTA	DNA	90	4090606	6905	45451.2	146110	OG38	230609	3	hap1
OG38_v230609.hic1.3.curated.hap1	FASTA	DNA	115	728780827	6905	6337224.6	40831034	OG38	230609	3	hap1
OG38_v230609.hic1.3.curated.hap2	FASTA	DNA	29	729179975	89135	25144137.1	44478515	OG38	230609	3	hap2
OG38_v230609.hic1.3.curated.hap2	FASTA	DNA	54	2414185	8448	44707.1	117085	OG38	230609	3	hap2
OG38_v230609.hic1.3.curated.hap2	FASTA	DNA	83	731594160	8448	8814387.5	44478515	OG38	230609	3	hap2
OG649_v240417.hic1.3.curated.hap1	FASTA	DNA	24	609195770	13343915	25383157.1	32375261	OG649	240417	3	hap1
OG649_v240417.hic1.3.curated.hap1	FASTA	DNA	405	21402614	5689	52846	1050818	OG649	240417	3	hap1
OG649_v240417.hic1.3.curated.hap1	FASTA	DNA	429	630598384	5689	1469926.3	32375261	OG649	240417	3	hap1
OG649_v240417.hic1.3.curated.hap2	FASTA	DNA	25	607634389	497134	24305375.6	32252230	OG649	240417	3	hap2
OG649_v240417.hic1.3.curated.hap2	FASTA	DNA	139	14838225	5591	106749.8	854935	OG649	240417	3	hap2
OG649_v240417.hic1.3.curated.hap2	FASTA	DNA	164	622472614	5591	3795564.7	32252230	OG649	240417	3	hap2
OG654_v240327.hic1.3.curated.hap1	FASTA	DNA	24	866606483	21878554	36108603.5	45035538	OG654	240327	3	hap1
OG654_v240327.hic1.3.curated.hap1	FASTA	DNA	987	85014356	6477	86134.1	2167938	OG654	240327	3	hap1
OG654_v240327.hic1.3.curated.hap1	FASTA	DNA	1011	951620839	6477	941266.9	45035538	OG654	240327	3	hap1
OG654_v240327.hic1.3.curated.hap2	FASTA	DNA	24	857702613	21518725	35737608.9	45048107	OG654	240327	3	hap2
OG654_v240327.hic1.3.curated.hap2	FASTA	DNA	454	33322565	5150	73397.7	1122720	OG654	240327	3	hap2
OG654_v240327.hic1.3.curated.hap2	FASTA	DNA	478	891025178	5150	1864069.4	45048107	OG654	240327	3	hap2
OG665_v240501.hic2.3.curated.hap1	FASTA	DNA	24	629735874	15570458	26238994.8	34110528	OG665	240501	3	hap1
OG665_v240501.hic2.3.curated.hap1	FASTA	DNA	70	7743334	7783	110619.1	990702	OG665	240501	3	hap1
OG665_v240501.hic2.3.curated.hap1	FASTA	DNA	94	637479208	7783	6781693.7	34110528	OG665	240501	3	hap1
OG665_v240501.hic2.3.curated.hap2	FASTA	DNA	24	629236962	16590738	26218206.8	33800317	OG665	240501	3	hap2
OG665_v240501.hic2.3.curated.hap2	FASTA	DNA	44	5775740	11817	131266.8	838390	OG665	240501	3	hap2
OG665_v240501.hic2.3.curated.hap2	FASTA	DNA	68	635012702	11817	9338422.1	33800317	OG665	240501	3	hap2
OG762_v241019.hic1.3.curated.hap1	FASTA	DNA	24	634300876	17826630	26429203.2	33330668	OG762	241019	3	hap1
OG762_v241019.hic1.3.curated.hap1	FASTA	DNA	116	30477733	17609	262739.1	1673361	OG762	241019	3	hap1
OG762_v241019.hic1.3.curated.hap1	FASTA	DNA	140	664778609	17609	4748418.6	33330668	OG762	241019	3	hap1
OG762_v241019.hic1.3.curated.hap2	FASTA	DNA	24	632154167	18109705	26339757	33370065	OG762	241019	3	hap2
OG762_v241019.hic1.3.curated.hap2	FASTA	DNA	84	15989279	10752	190348.6	1318826	OG762	241019	3	hap2
OG762_v241019.hic1.3.curated.hap2	FASTA	DNA	108	648143446	10752	6001328.2	33370065	OG762	241019	3	hap2
OG799_v241019.hic1.3.curated.hap1	FASTA	DNA	24	734621070	13280016	30609211.3	38476898	OG799	241019	3	hap1
OG799_v241019.hic1.3.curated.hap1	FASTA	DNA	83	14693326	24768	177028	1485798	OG799	241019	3	hap1
OG799_v241019.hic1.3.curated.hap1	FASTA	DNA	107	749314396	24768	7002938.3	38476898	OG799	241019	3	hap1
OG799_v241019.hic1.3.curated.hap2	FASTA	DNA	26	736220922	965634	28316189.3	38286428	OG799	241019	3	hap2
OG799_v241019.hic1.3.curated.hap2	FASTA	DNA	50	10596002	27933	211920	760012	OG799	241019	3	hap2
OG799_v241019.hic1.3.curated.hap2	FASTA	DNA	76	746816924	27933	9826538.5	38286428	OG799	241019	3	hap2
OG856_v240821.hic1.3.curated.hap1	FASTA	DNA	25	709099589	392889	28363983.6	36706116	OG856	240821	3	hap1
OG856_v240821.hic1.3.curated.hap1	FASTA	DNA	41	2135877	15582	52094.6	137445	OG856	240821	3	hap1
OG856_v240821.hic1.3.curated.hap1	FASTA	DNA	66	711235466	15582	10776294.9	36706116	OG856	240821	3	hap1
OG856_v240821.hic1.3.curated.hap2	FASTA	DNA	29	711950472	156390	24550016.3	36725239	OG856	240821	3	hap2
OG856_v240821.hic1.3.curated.hap2	FASTA	DNA	32	1630813	10492	50962.9	145035	OG856	240821	3	hap2
OG856_v240821.hic1.3.curated.hap2	FASTA	DNA	61	713581285	10492	11698053.9	36725239	OG856	240821	3	hap2
